degrees,latitude,longitude,timestamp
29.58,22.30465,39.1035667,2022-04-17T02:10:25.000Z
29.52,22.3046667,39.10355,2022-04-17T03:10:25.000Z
29.54,22.30465,39.10355,2022-04-17T04:10:25.000Z
29.64,22.30465,39.10355,2022-04-17T05:10:25.000Z
29.74,22.3047,39.10355,2022-04-17T06:10:25.000Z
30.04,22.3046333,39.1036,2022-04-17T07:10:25.000Z
30.28,22.3046667,39.1035833,2022-04-17T08:10:25.000Z
30.52,22.3046667,39.1035667,2022-04-17T09:10:25.000Z
30.82,22.3046667,39.1035833,2022-04-17T10:10:25.000Z
30.86,22.3046833,39.1035833,2022-04-17T11:10:25.000Z
30.86,22.3046667,39.1036,2022-04-17T12:10:25.000Z
30.76,22.3047,39.1035667,2022-04-17T13:10:25.000Z
30.72,22.3046833,39.1035833,2022-04-17T14:10:25.000Z
30.62,22.3046833,39.1036,2022-04-17T15:10:25.000Z
30.56,22.3046833,39.1036,2022-04-17T16:10:25.000Z
30.48,22.3047,39.1035833,2022-04-17T17:10:25.000Z
30.44,22.3046833,39.1035833,2022-04-17T18:10:25.000Z
30.36,22.3047,39.1035833,2022-04-17T19:10:25.000Z
30.32,22.3047,39.1035833,2022-04-17T20:10:25.000Z
30.26,22.3046667,39.1035833,2022-04-17T21:10:25.000Z
30.26,22.3046833,39.10355,2022-04-17T22:10:25.000Z
30.22,22.3047167,39.1035667,2022-04-17T23:10:25.000Z
30.18,22.3046833,39.1035667,2022-04-18T00:10:25.000Z
30.08,22.3046667,39.1035833,2022-04-18T01:10:25.000Z
30.06,22.3046667,39.1035833,2022-04-18T02:10:25.000Z
30.04,22.30465,39.1035667,2022-04-18T03:10:25.000Z
30.02,22.30465,39.1035667,2022-04-18T04:10:25.000Z
30.12,22.30465,39.1035667,2022-04-18T05:10:25.000Z
30.38,22.3046333,39.1035833,2022-04-18T06:10:25.000Z
30.46,22.3046333,39.1036,2022-04-18T07:10:25.000Z
30.72,22.30465,39.1036,2022-04-18T08:10:25.000Z
30.86,22.3046667,39.1036,2022-04-18T09:10:25.000Z
31.02,22.30465,39.1036,2022-04-18T10:10:25.000Z
31.04,22.3046833,39.1036,2022-04-18T11:10:25.000Z
31.02,22.30465,39.1035667,2022-04-18T12:10:25.000Z
31.02,22.3046833,39.1035833,2022-04-18T13:10:25.000Z
31.24,22.3047,39.1035833,2022-04-18T14:10:25.000Z
31.1,22.3047,39.1035833,2022-04-18T15:10:25.000Z
31.02,22.30465,39.1035833,2022-04-18T16:10:25.000Z
30.98,22.3046833,39.1035833,2022-04-18T17:10:25.000Z
30.88,22.3046667,39.1036333,2022-04-18T18:10:25.000Z
30.84,22.3046833,39.1035667,2022-04-18T19:10:25.000Z
30.8,22.3046833,39.1035667,2022-04-18T20:10:25.000Z
30.74,22.3046667,39.1036,2022-04-18T21:10:25.000Z
30.74,22.3047,39.1035833,2022-04-18T22:10:25.000Z
30.66,22.3047,39.1035333,2022-04-18T23:10:25.000Z
30.58,22.30465,39.1035667,2022-04-19T00:10:25.000Z
30.54,22.3046667,39.1035667,2022-04-19T01:10:25.000Z
30.48,22.30465,39.1035833,2022-04-19T02:10:25.000Z
30.42,22.30465,39.1035667,2022-04-19T03:10:25.000Z
30.04,22.3046333,39.10355,2022-04-19T04:10:25.000Z
30.14,22.30465,39.1035667,2022-04-19T05:10:25.000Z
30.66,22.30465,39.1035833,2022-04-19T06:10:25.000Z
30.94,22.3046667,39.1035667,2022-04-19T07:10:25.000Z
30.94,22.3046667,39.1036167,2022-04-19T08:10:25.000Z
31.0,22.3046667,39.1036,2022-04-19T09:10:25.000Z
31.24,22.30465,39.1036,2022-04-19T10:10:25.000Z
31.28,22.3046833,39.1036167,2022-04-19T11:10:25.000Z
31.34,22.3046667,39.1035833,2022-04-19T12:10:25.000Z
31.34,22.3046833,39.1035833,2022-04-19T13:10:25.000Z
31.24,22.30465,39.1035833,2022-04-19T14:10:25.000Z
31.12,22.30465,39.1035833,2022-04-19T15:10:25.000Z
31.04,22.3047,39.1035833,2022-04-19T16:10:25.000Z
30.96,22.3047,39.1035833,2022-04-19T17:10:25.000Z
30.94,22.3046167,39.1035833,2022-04-19T18:10:25.000Z
30.86,22.3047,39.1035667,2022-04-19T19:10:25.000Z
